Year,State,Administrative district,Sex,Value
2015,Johor,Batu pahat,Male,3630
2015,Johor,Batu pahat,Female,3401
2016,Johor,Batu pahat,Male,3558
2016,Johor,Batu pahat,Female,3395
2017,Johor,Batu pahat,Male,3733
2017,Johor,Batu pahat,Female,3395
2018,Johor,Batu pahat,Male,3651
2018,Johor,Batu pahat,Female,3366
2019,Johor,Batu pahat,Male,3528
2019,Johor,Batu pahat,Female,3354
2020,Johor,Batu pahat,Male,3417
2020,Johor,Batu pahat,Female,3236
2021,Johor,Batu pahat,Male,3179
2021,Johor,Batu pahat,Female,2960
2015,Johor,Johor Bahru,Male,13129
2015,Johor,Johor Bahru,Female,12110
2016,Johor,Johor Bahru,Male,12941
2016,Johor,Johor Bahru,Female,12062
2017,Johor,Johor Bahru,Male,13277
2017,Johor,Johor Bahru,Female,12473
2018,Johor,Johor Bahru,Male,13707
2018,Johor,Johor Bahru,Female,12722
2019,Johor,Johor Bahru,Male,13543
2019,Johor,Johor Bahru,Female,12600
2020,Johor,Johor Bahru,Male,12721
2020,Johor,Johor Bahru,Female,11954
2021,Johor,Johor Bahru,Male,10496
2021,Johor,Johor Bahru,Female,9913
2015,Johor,Kluang,Male,2545
2015,Johor,Kluang,Female,2369
2016,Johor,Kluang,Male,2450
2016,Johor,Kluang,Female,2349
2017,Johor,Kluang,Male,2484
2017,Johor,Kluang,Female,2357
2018,Johor,Kluang,Male,2439
2018,Johor,Kluang,Female,2332
2019,Johor,Kluang,Male,2432
2019,Johor,Kluang,Female,2277
2020,Johor,Kluang,Male,2189
2020,Johor,Kluang,Female,2085
2021,Johor,Kluang,Male,1958
2021,Johor,Kluang,Female,1846
2015,Johor,Kota tinggi,Male,2278
2015,Johor,Kota tinggi,Female,2159
2016,Johor,Kota tinggi,Male,2297
2016,Johor,Kota tinggi,Female,2182
2017,Johor,Kota tinggi,Male,2393
2017,Johor,Kota tinggi,Female,2124
2018,Johor,Kota tinggi,Male,2320
2018,Johor,Kota tinggi,Female,2152
2019,Johor,Kota tinggi,Male,2200
2019,Johor,Kota tinggi,Female,2102
2020,Johor,Kota tinggi,Male,2157
2020,Johor,Kota tinggi,Female,2025
2021,Johor,Kota tinggi,Male,1923
2021,Johor,Kota tinggi,Female,1887
2015,Johor,Mersing,Male,817
2015,Johor,Mersing,Female,790
2016,Johor,Mersing,Male,805
2016,Johor,Mersing,Female,732
2017,Johor,Mersing,Male,849
2017,Johor,Mersing,Female,742
2018,Johor,Mersing,Male,866
2018,Johor,Mersing,Female,821
2019,Johor,Mersing,Male,753
2019,Johor,Mersing,Female,771
2020,Johor,Mersing,Male,729
2020,Johor,Mersing,Female,702
2021,Johor,Mersing,Male,677
2021,Johor,Mersing,Female,647
2015,Johor,Muar,Male,2353
2015,Johor,Muar,Female,2157
2016,Johor,Muar,Male,2236
2016,Johor,Muar,Female,2153
2017,Johor,Muar,Male,2303
2017,Johor,Muar,Female,2116
2018,Johor,Muar,Male,2293
2018,Johor,Muar,Female,2036
2019,Johor,Muar,Male,2204
2019,Johor,Muar,Female,2029
2020,Johor,Muar,Male,2028
2020,Johor,Muar,Female,1915
2021,Johor,Muar,Male,1948
2021,Johor,Muar,Female,1803
2015,Johor,Pontian,Male,1567
2015,Johor,Pontian,Female,1477
2016,Johor,Pontian,Male,1481
2016,Johor,Pontian,Female,1331
2017,Johor,Pontian,Male,1538
2017,Johor,Pontian,Female,1446
2018,Johor,Pontian,Male,1544
2018,Johor,Pontian,Female,1414
2019,Johor,Pontian,Male,1507
2019,Johor,Pontian,Female,1452
2020,Johor,Pontian,Male,1497
2020,Johor,Pontian,Female,1360
2021,Johor,Pontian,Male,1215
2021,Johor,Pontian,Female,1198
2015,Johor,Segamat,Male,1623
2015,Johor,Segamat,Female,1620
2016,Johor,Segamat,Male,1679
2016,Johor,Segamat,Female,1594
2017,Johor,Segamat,Male,1704
2017,Johor,Segamat,Female,1591
2018,Johor,Segamat,Male,1649
2018,Johor,Segamat,Female,1583
2019,Johor,Segamat,Male,1637
2019,Johor,Segamat,Female,1547
2020,Johor,Segamat,Male,1591
2020,Johor,Segamat,Female,1439
2021,Johor,Segamat,Male,1326
2021,Johor,Segamat,Female,1294
2015,Johor,Kulai,Male,2208
2015,Johor,Kulai,Female,2045
2016,Johor,Kulai,Male,2126
2016,Johor,Kulai,Female,1938
2017,Johor,Kulai,Male,2232
2017,Johor,Kulai,Female,2159
2018,Johor,Kulai,Male,2068
2018,Johor,Kulai,Female,1909
2019,Johor,Kulai,Male,2105
2019,Johor,Kulai,Female,1998
2020,Johor,Kulai,Male,1950
2020,Johor,Kulai,Female,1792
2021,Johor,Kulai,Male,1927
2021,Johor,Kulai,Female,1743
2015,Johor,Tangkak,Male,1157
2015,Johor,Tangkak,Female,1108
2016,Johor,Tangkak,Male,1181
2016,Johor,Tangkak,Female,1071
2017,Johor,Tangkak,Male,1135
2017,Johor,Tangkak,Female,1034
2018,Johor,Tangkak,Male,1119
2018,Johor,Tangkak,Female,1093
2019,Johor,Tangkak,Male,1079
2019,Johor,Tangkak,Female,980
2020,Johor,Tangkak,Male,1055
2020,Johor,Tangkak,Female,978
2021,Johor,Tangkak,Male,1059
2021,Johor,Tangkak,Female,991
2015,Kedah,Baling,Male,1482
2015,Kedah,Baling,Female,1403
2016,Kedah,Baling,Male,1670
2016,Kedah,Baling,Female,1524
2017,Kedah,Baling,Male,1632
2017,Kedah,Baling,Female,1492
2018,Kedah,Baling,Male,1546
2018,Kedah,Baling,Female,1516
2019,Kedah,Baling,Male,1483
2019,Kedah,Baling,Female,1449
2020,Kedah,Baling,Male,1571
2020,Kedah,Baling,Female,1423
2021,Kedah,Baling,Male,1365
2021,Kedah,Baling,Female,1317
2015,Kedah,Bandar Baharu,Male,417
2015,Kedah,Bandar Baharu,Female,386
2016,Kedah,Bandar Baharu,Male,385
2016,Kedah,Bandar Baharu,Female,371
2017,Kedah,Bandar Baharu,Male,403
2017,Kedah,Bandar Baharu,Female,354
2018,Kedah,Bandar Baharu,Male,404
2018,Kedah,Bandar Baharu,Female,349
2019,Kedah,Bandar Baharu,Male,371
2019,Kedah,Bandar Baharu,Female,358
2020,Kedah,Bandar Baharu,Male,389
2020,Kedah,Bandar Baharu,Female,357
2021,Kedah,Bandar Baharu,Male,347
2021,Kedah,Bandar Baharu,Female,338
2015,Kedah,Kota Setar,Male,3614
2015,Kedah,Kota Setar,Female,3470
2016,Kedah,Kota Setar,Male,3394
2016,Kedah,Kota Setar,Female,3333
2017,Kedah,Kota Setar,Male,3704
